event_name,date,latitude,longitude,rainfall_mm,antecedent_7day_mm,temp_max_c,temp_min_c,humidity_pct,wind_speed_kmh,precipitation_hours,evapotranspiration_mm,soil_moisture,elevation_m,river_discharge_m3s,flood_nearby,landslide_occurred
India_Kinnaur_HP_2021,2021-08-13,31.52,78.47,2.8,35.8,12.0,4.0,100,5.2,9.0,3.86,0.369,4321.0,17.11,0,1
India_Kinnaur_HP_2021,2021-08-14,31.52,78.47,3.4,35.8,10.6,4.2,99,5.2,12.0,3.67,0.374,4321.0,16.99,0,1
India_Kinnaur_HP_2021,2021-08-15,31.52,78.47,1.5,35.8,11.2,3.1,100,8.1,6.0,4.03,0.374,4321.0,16.78,0,1
India_HP_Mandi_2023,2023-08-14,31.72,76.93,27.4,62.8,26.6,22.8,98,10.5,24.0,2.01,0.422,769.0,480.95,0,1
India_HP_Mandi_2023,2023-08-15,31.72,76.93,6.8,62.8,30.5,21.5,100,6.9,14.0,4.43,0.407,769.0,531.11,0,1
India_HP_Mandi_2023,2023-08-16,31.72,76.93,0.9,62.8,30.7,21.1,95,5.9,4.0,4.6,0.374,769.0,575.77,0,1
India_HP_Mandi_2023,2023-08-17,31.72,76.93,1.1,62.8,30.4,22.3,100,7.6,7.0,4.33,0.358,769.0,563.94,0,1
India_HP_Mandi_2023,2023-08-18,31.72,76.93,0.0,62.8,31.4,21.5,100,5.2,0.0,4.68,0.343,769.0,548.54,0,1
India_HP_Shimla_2023,2023-08-13,31.1,77.17,21.6,27.4,21.7,17.6,100,12.9,23.0,1.82,0.51,1940.0,1.68,0,1
India_HP_Shimla_2023,2023-08-14,31.1,77.17,51.0,27.4,18.9,16.7,100,7.0,24.0,1.01,0.51,1940.0,1.65,0,1
India_HP_Shimla_2023,2023-08-15,31.1,77.17,1.2,27.4,22.7,15.6,100,12.4,8.0,3.8,0.494,1940.0,1.7,0,1
India_HP_Shimla_2023,2023-08-16,31.1,77.17,0.9,27.4,23.0,14.4,100,14.3,7.0,4.08,0.487,1940.0,1.78,0,1
India_HP_Shimla_2023,2023-08-17,31.1,77.17,2.1,27.4,22.5,14.9,100,16.3,8.0,3.9,0.48,1940.0,1.85,0,1
India_HP_Kullu_2023,2023-08-14,31.95,77.1,54.8,68.0,23.0,19.0,99,6.4,22.0,1.83,0.507,1663.0,106.4,0,1
India_HP_Kullu_2023,2023-08-15,31.95,77.1,5.9,68.0,25.1,18.9,100,5.4,14.0,3.06,0.499,1663.0,107.39,0,1
India_HP_Kullu_2023,2023-08-16,31.95,77.1,0.9,68.0,24.8,18.9,95,5.7,5.0,4.3,0.476,1663.0,116.49,0,1
India_HP_Kullu_2023,2023-08-17,31.95,77.1,0.6,68.0,25.5,18.3,100,6.6,3.0,4.24,0.461,1663.0,123.17,0,1
India_HP_Kullu_2023,2023-08-18,31.95,77.1,5.8,68.0,26.5,17.5,100,6.4,7.0,4.69,0.459,1663.0,116.49,0,1
India_Kerala_Landslide_2018,2018-08-15,9.55,76.62,117.9,195.2,23.6,22.3,100,23.9,24.0,0.58,0.512,45.0,7.34,0,1
India_Kerala_Landslide_2018,2018-08-16,9.55,76.62,81.4,195.2,25.0,22.2,100,18.1,24.0,1.12,0.513,45.0,8.68,0,1
India_Kerala_Landslide_2018,2018-08-17,9.55,76.62,41.0,195.2,25.6,22.1,100,18.4,24.0,1.72,0.509,45.0,8.16,0,1
India_Kerala_Landslide_2018,2018-08-18,9.55,76.62,34.3,195.2,26.1,22.6,100,19.0,24.0,1.86,0.511,45.0,7.49,0,1
India_Kerala_Landslide_2018,2018-08-19,9.55,76.62,21.6,195.2,26.4,22.6,100,20.7,23.0,2.2,0.505,45.0,6.96,0,1
India_Kerala_Munnar_2021,2021-10-16,10.09,77.06,45.6,110.6,19.5,16.9,100,14.5,23.0,1.4,0.424,1485.0,23.43,0,1
India_Kerala_Munnar_2021,2021-10-17,10.09,77.06,55.1,110.6,18.6,17.0,100,14.4,24.0,1.5,0.429,1485.0,23.66,0,1
India_Kerala_Munnar_2021,2021-10-18,10.09,77.06,11.0,110.6,18.6,16.4,100,16.0,18.0,2.12,0.426,1485.0,21.8,0,1
India_Kerala_Munnar_2021,2021-10-19,10.09,77.06,11.4,110.6,21.7,15.9,100,8.9,8.0,2.69,0.418,1485.0,19.94,0,1
India_Kerala_Munnar_2021,2021-10-20,10.09,77.06,28.3,110.6,22.1,15.8,100,6.6,12.0,2.71,0.42,1485.0,19.51,0,1
India_Kerala_Wayanad_2019,2019-08-08,11.61,76.08,62.2,141.9,22.4,19.5,100,17.4,24.0,1.46,0.51,755.0,10.14,0,1
India_Kerala_Wayanad_2019,2019-08-09,11.61,76.08,46.3,141.9,22.3,19.4,100,13.5,24.0,1.35,0.511,755.0,10.64,0,1
India_Kerala_Wayanad_2019,2019-08-10,11.61,76.08,52.7,141.9,22.6,19.1,100,11.8,24.0,1.19,0.512,755.0,10.94,0,1
India_Kerala_Wayanad_2019,2019-08-11,11.61,76.08,12.9,141.9,24.2,19.0,100,15.2,20.0,3.06,0.506,755.0,7.15,0,1
India_Kerala_Wayanad_2019,2019-08-12,11.61,76.08,11.5,141.9,24.0,18.9,100,12.2,23.0,2.59,0.505,755.0,6.05,0,1
India_Raigad_MH_2021,2021-07-22,18.51,73.31,57.0,388.6,26.2,24.2,96,12.7,24.0,0.87,0.509,68.0,10.8,0,1
India_Raigad_MH_2021,2021-07-23,18.51,73.31,73.7,388.6,24.7,22.8,99,9.2,24.0,0.73,0.51,68.0,10.94,0,1
India_Raigad_MH_2021,2021-07-24,18.51,73.31,32.1,388.6,27.7,23.1,98,15.8,24.0,2.32,0.51,68.0,10.46,0,1
India_Raigad_MH_2021,2021-07-25,18.51,73.31,25.1,388.6,28.2,24.3,97,12.1,24.0,2.01,0.507,68.0,9.84,0,1
India_Raigad_MH_2021,2021-07-26,18.51,73.31,25.1,388.6,27.9,24.2,97,15.0,24.0,2.34,0.512,68.0,9.45,0,1
India_Malin_MH_2014,2014-07-30,19.0,73.44,92.7,283.6,25.2,23.9,99,15.0,24.0,0.95,0.439,109.0,68.34,0,1
India_Malin_MH_2014,2014-07-31,19.0,73.44,70.7,283.6,25.5,23.9,100,14.2,24.0,0.87,0.441,109.0,67.71,0,1
India_Malin_MH_2014,2014-08-01,19.0,73.44,28.7,283.6,27.2,24.0,99,17.0,24.0,2.26,0.438,109.0,56.68,0,1
India_Malin_MH_2014,2014-08-02,19.0,73.44,12.9,283.6,27.4,23.8,98,19.3,23.0,2.74,0.443,109.0,42.05,0,1
India_Malin_MH_2014,2014-08-03,19.0,73.44,25.7,283.6,27.4,23.6,99,17.8,24.0,2.35,0.438,109.0,35.9,0,1
India_Pune_MH_2023,2023-07-20,18.52,73.85,3.5,85.6,26.5,22.6,93,32.3,19.0,3.51,0.493,542.0,747.17,0,1
India_Pune_MH_2023,2023-07-21,18.52,73.85,13.3,85.6,26.4,22.7,92,25.3,20.0,2.52,0.488,542.0,495.59,0,1
India_Pune_MH_2023,2023-07-22,18.52,73.85,11.5,85.6,27.1,22.6,94,29.2,23.0,2.79,0.501,542.0,644.65,0,1
India_Pune_MH_2023,2023-07-23,18.52,73.85,8.4,85.6,25.9,22.5,93,28.7,23.0,2.27,0.501,542.0,817.46,0,1
India_Pune_MH_2023,2023-07-24,18.52,73.85,11.5,85.6,26.2,22.8,93,28.7,22.0,3.14,0.503,542.0,1050.96,1,1
India_Sikkim_2023,2023-10-04,27.33,88.61,27.7,23.3,18.5,15.3,100,5.1,23.0,0.81,0.421,1551.0,2.85,0,1
India_Sikkim_2023,2023-10-05,27.33,88.61,3.2,23.3,20.9,15.9,100,7.1,11.0,2.08,0.412,1551.0,3.4,0,1
India_Sikkim_2023,2023-10-06,27.33,88.61,9.2,23.3,21.2,15.2,99,5.8,11.0,2.18,0.405,1551.0,3.45,0,1
India_Sikkim_2023,2023-10-07,27.33,88.61,28.6,23.3,22.0,15.1,100,6.6,17.0,3.06,0.412,1551.0,3.12,0,1
India_Sikkim_2023,2023-10-08,27.33,88.61,19.5,23.3,22.5,14.7,100,6.2,23.0,2.97,0.425,1551.0,2.8,0,1
India_Assam_2022,2022-06-17,25.45,92.45,51.7,111.5,20.7,18.9,99,39.6,24.0,0.91,0.51,1108.0,62.39,0,1
India_Assam_2022,2022-06-18,25.45,92.45,31.1,111.5,23.0,18.7,98,33.5,20.0,1.86,0.507,1108.0,41.76,0,1
India_Assam_2022,2022-06-19,25.45,92.45,14.6,111.5,23.6,18.8,98,29.7,12.0,2.86,0.497,1108.0,29.06,0,1
India_Assam_2022,2022-06-20,25.45,92.45,4.5,111.5,23.9,18.9,99,23.2,7.0,3.3,0.489,1108.0,23.43,0,1
India_Assam_2022,2022-06-21,25.45,92.45,0.4,111.5,24.5,19.2,98,24.5,2.0,3.49,0.478,1108.0,20.43,0,1
India_Manipur_2022,2022-05-01,24.82,93.95,9.3,6.8,29.5,17.6,98,10.4,7.0,4.32,0.378,781.0,3.25,0,1
India_Manipur_2022,2022-05-02,24.82,93.95,3.2,6.8,27.0,18.5,96,11.8,5.0,3.88,0.407,781.0,3.12,0,1
India_Manipur_2022,2022-05-03,24.82,93.95,23.8,6.8,28.8,17.4,94,8.8,13.0,3.43,0.447,781.0,6.82,0,1
India_Manipur_2022,2022-05-04,24.82,93.95,31.0,6.8,25.0,17.7,95,10.5,13.0,3.11,0.491,781.0,12.06,0,1
India_Manipur_2022,2022-05-05,24.82,93.95,0.2,6.8,25.9,16.7,99,7.4,2.0,4.05,0.453,781.0,6.31,0,1
India_Nagaland_2022,2022-06-24,26.2,94.5,3.2,147.5,26.1,21.3,95,6.6,11.0,2.55,0.484,888.0,6.43,0,1
India_Nagaland_2022,2022-06-25,26.2,94.5,2.9,147.5,25.9,21.2,94,6.4,11.0,2.18,0.488,888.0,6.16,0,1
India_Nagaland_2022,2022-06-26,26.2,94.5,1.1,147.5,27.8,20.7,92,11.0,6.0,4.31,0.47,888.0,5.79,0,1
India_Nagaland_2022,2022-06-27,26.2,94.5,2.9,147.5,28.2,21.3,88,11.8,10.0,3.6,0.478,888.0,5.46,0,1
India_Nagaland_2022,2022-06-28,26.2,94.5,7.8,147.5,24.5,21.6,89,5.8,10.0,1.61,0.497,888.0,5.22,0,1
India_Arunachal_2022,2022-07-09,28.21,94.73,22.5,33.1,32.0,22.9,96,7.9,16.0,4.25,0.416,450.0,3.95,0,1
India_Arunachal_2022,2022-07-10,28.21,94.73,2.9,33.1,32.7,23.0,93,8.1,9.0,4.97,0.415,450.0,3.75,0,1
India_Arunachal_2022,2022-07-11,28.21,94.73,4.5,33.1,31.0,23.9,93,5.9,6.0,4.32,0.41,450.0,3.58,0,1
India_Arunachal_2022,2022-07-12,28.21,94.73,4.2,33.1,31.1,23.3,93,6.1,5.0,4.29,0.411,450.0,3.4,0,1
India_Arunachal_2022,2022-07-13,28.21,94.73,0.0,33.1,32.2,23.8,86,5.4,0.0,3.99,0.391,450.0,3.22,0,1
India_Meghalaya_2022,2022-06-19,25.57,91.88,2.4,221.7,22.6,18.8,98,19.1,9.0,2.96,0.487,1513.0,10.12,0,1
India_Meghalaya_2022,2022-06-20,25.57,91.88,2.5,221.7,22.5,17.9,98,13.1,9.0,2.82,0.477,1513.0,7.22,0,1
India_Meghalaya_2022,2022-06-21,25.57,91.88,1.3,221.7,23.4,18.0,99,13.0,9.0,3.23,0.482,1513.0,6.21,0,1
India_Meghalaya_2022,2022-06-22,25.57,91.88,5.2,221.7,23.4,16.7,99,10.5,10.0,3.42,0.486,1513.0,5.31,0,1
India_Meghalaya_2022,2022-06-23,25.57,91.88,9.4,221.7,23.6,18.7,97,16.0,9.0,3.53,0.49,1513.0,4.87,0,1
India_Ramban_JK_2023,2023-07-08,33.24,75.24,19.9,35.4,26.3,20.1,92,7.6,18.0,1.61,0.494,740.0,1201.26,1,1
India_Ramban_JK_2023,2023-07-09,33.24,75.24,0.9,35.4,27.5,22.6,92,8.4,6.0,3.3,0.482,740.0,1917.67,1,1
India_Ramban_JK_2023,2023-07-10,33.24,75.24,1.8,35.4,32.4,20.3,81,5.4,3.0,5.44,0.456,740.0,1650.96,1,1
India_Ramban_JK_2023,2023-07-11,33.24,75.24,0.2,35.4,32.7,21.7,94,6.8,1.0,5.59,0.43,740.0,1281.33,1,1
India_Ramban_JK_2023,2023-07-12,33.24,75.24,0.0,35.4,33.1,22.4,96,7.2,0.0,5.61,0.402,740.0,1134.01,1,1
India_JK_2023,2023-07-14,33.73,74.87,0.0,25.9,28.0,16.2,62,10.2,0.0,5.73,0.208,1962.0,3.55,0,1
India_JK_2023,2023-07-15,33.73,74.87,0.6,25.9,26.1,16.2,74,8.0,3.0,4.55,0.198,1962.0,3.61,0,1
India_JK_2023,2023-07-16,33.73,74.87,12.7,25.9,24.6,16.8,89,9.5,12.0,3.95,0.213,1962.0,3.97,0,1
India_JK_2023,2023-07-17,33.73,74.87,0.6,25.9,26.1,16.1,91,8.0,2.0,4.74,0.212,1962.0,3.66,0,1
India_JK_2023,2023-07-18,33.73,74.87,0.0,25.9,28.0,16.6,72,11.0,0.0,5.17,0.192,1962.0,3.46,0,1
India_Goa_2021,2021-07-25,15.49,73.82,14.6,304.6,27.0,24.9,95,21.7,24.0,2.89,0.329,7.0,13.32,0,1
India_Goa_2021,2021-07-26,15.49,73.82,15.7,304.6,27.0,24.7,95,21.8,24.0,2.93,0.326,7.0,12.0,0,1
India_Goa_2021,2021-07-27,15.49,73.82,12.4,304.6,26.9,24.6,94,23.1,24.0,2.82,0.314,7.0,10.83,0,1
India_Goa_2021,2021-07-28,15.49,73.82,10.9,304.6,27.6,25.0,93,21.3,22.0,3.22,0.309,7.0,9.86,0,1
India_Goa_2021,2021-07-29,15.49,73.82,7.7,304.6,27.8,25.0,95,24.8,19.0,3.06,0.303,7.0,9.07,0,1
India_Karnataka_2020,2020-08-08,15.33,75.13,4.4,138.9,23.9,21.8,98,28.3,18.0,1.45,0.497,611.0,1.95,0,1
India_Karnataka_2020,2020-08-09,15.33,75.13,1.6,138.9,26.5,21.4,98,27.0,11.0,2.99,0.482,611.0,1.11,0,1
India_Karnataka_2020,2020-08-10,15.33,75.13,13.9,138.9,23.2,21.0,98,23.7,21.0,1.45,0.498,611.0,0.73,0,1
India_Karnataka_2020,2020-08-11,15.33,75.13,5.6,138.9,24.4,20.8,98,22.7,24.0,1.71,0.509,611.0,0.94,0,1
India_Karnataka_2020,2020-08-12,15.33,75.13,3.3,138.9,25.6,21.3,98,29.8,19.0,2.65,0.504,611.0,1.01,0,1
Nepal_Jure_2014,2014-08-02,27.82,85.82,17.6,127.7,19.6,15.2,97,6.2,21.0,2.35,0.425,2379.0,210.35,0,1
Nepal_Jure_2014,2014-08-03,27.82,85.82,30.1,127.7,18.5,15.5,98,5.0,24.0,1.81,0.428,2379.0,213.78,0,1
Nepal_Jure_2014,2014-08-04,27.82,85.82,17.5,127.7,19.2,14.9,96,5.9,24.0,2.09,0.426,2379.0,203.64,0,1
Nepal_Jure_2014,2014-08-05,27.82,85.82,6.8,127.7,19.5,15.4,97,8.0,21.0,2.71,0.426,2379.0,193.98,0,1
Nepal_Jure_2014,2014-08-06,27.82,85.82,10.5,127.7,19.3,14.7,99,7.0,23.0,2.42,0.424,2379.0,187.8,0,1
Nepal_Sindhupalchok_2021,2021-07-28,27.95,85.68,14.7,143.1,18.4,14.1,98,4.3,13.0,2.66,0.42,2490.0,7.49,0,1
Nepal_Sindhupalchok_2021,2021-07-29,27.95,85.68,9.0,143.1,19.1,14.4,100,5.2,13.0,2.9,0.421,2490.0,7.32,0,1
Nepal_Sindhupalchok_2021,2021-07-30,27.95,85.68,9.6,143.1,18.7,14.8,100,3.9,15.0,2.68,0.422,2490.0,7.28,0,1
Nepal_Sindhupalchok_2021,2021-07-31,27.95,85.68,27.5,143.1,18.6,14.9,100,6.7,18.0,2.91,0.426,2490.0,6.62,0,1
Nepal_Sindhupalchok_2021,2021-08-01,27.95,85.68,33.6,143.1,18.8,14.1,100,6.3,23.0,2.99,0.427,2490.0,6.21,0,1
Nepal_Mustang_2020,2020-05-25,28.8,83.85,0.1,0.1,15.8,8.8,54,10.2,1.0,4.99,0.025,3780.0,0.0,0,1
Nepal_Mustang_2020,2020-05-26,28.8,83.85,1.2,0.1,14.3,6.1,61,9.6,9.0,4.15,0.03,3780.0,0.0,0,1
Nepal_Mustang_2020,2020-05-27,28.8,83.85,0.2,0.1,16.6,3.8,73,10.5,2.0,4.3,0.043,3780.0,0.0,0,1
Nepal_Mustang_2020,2020-05-28,28.8,83.85,1.6,0.1,12.3,6.1,70,8.1,4.0,3.74,0.046,3780.0,0.0,0,1
Nepal_Mustang_2020,2020-05-29,28.8,83.85,3.2,0.1,10.4,2.7,84,8.4,12.0,2.96,0.074,3780.0,0.0,0,1
Nepal_Karnali_2023,2023-10-04,28.65,82.16,7.0,34.5,23.9,16.5,97,6.6,12.0,2.76,0.414,1242.0,392.55,0,1
Nepal_Karnali_2023,2023-10-05,28.65,82.16,0.8,34.5,24.9,17.2,100,6.4,5.0,3.29,0.394,1242.0,430.52,0,1
Nepal_Karnali_2023,2023-10-06,28.65,82.16,0.8,34.5,24.8,17.9,100,8.8,5.0,3.26,0.383,1242.0,431.51,0,1
Nepal_Karnali_2023,2023-10-07,28.65,82.16,6.1,34.5,24.7,16.1,98,8.5,5.0,3.34,0.381,1242.0,417.79,0,1
Nepal_Karnali_2023,2023-10-08,28.65,82.16,0.1,34.5,24.8,15.6,100,8.3,1.0,3.39,0.375,1242.0,401.72,0,1
Japan_Atami_2021,2021-07-03,35.1,139.08,122.2,295.0,23.8,21.5,100,19.9,23.0,1.25,0.429,45.0,,0,1
Japan_Atami_2021,2021-07-04,35.1,139.08,19.0,295.0,21.8,20.4,100,9.7,23.0,1.04,0.428,45.0,,0,1
Japan_Atami_2021,2021-07-05,35.1,139.08,7.6,295.0,26.7,21.3,100,22.0,13.0,2.04,0.422,45.0,,0,1
Japan_Atami_2021,2021-07-06,35.1,139.08,0.0,295.0,28.2,22.4,95,10.8,0.0,2.24,0.406,45.0,,0,1
Japan_Atami_2021,2021-07-07,35.1,139.08,5.1,295.0,28.2,23.7,98,27.4,11.0,3.0,0.407,45.0,,0,1
Japan_Kumamoto_2020,2020-07-04,32.79,130.75,116.0,282.0,27.5,22.9,99,20.1,17.0,3.42,0.499,24.0,34.08,0,1
Japan_Kumamoto_2020,2020-07-05,32.79,130.75,23.7,282.0,26.3,22.6,99,22.5,21.0,2.49,0.498,24.0,29.13,0,1
Japan_Kumamoto_2020,2020-07-06,32.79,130.75,93.3,282.0,26.1,23.5,100,35.7,24.0,0.87,0.513,24.0,43.98,0,1
Japan_Kumamoto_2020,2020-07-07,32.79,130.75,106.0,282.0,26.7,22.9,100,32.7,24.0,0.95,0.514,24.0,41.56,0,1
Japan_Kumamoto_2020,2020-07-08,32.79,130.75,12.7,282.0,27.5,23.0,97,34.2,8.0,3.83,0.489,24.0,27.18,0,1
Japan_Hiroshima_2018,2018-07-06,34.39,132.45,211.2,215.8,24.4,21.4,99,22.6,24.0,0.61,0.515,10.0,74.68,0,1
Japan_Hiroshima_2018,2018-07-07,34.39,132.45,89.3,215.8,25.9,20.9,98,28.8,17.0,2.4,0.508,10.0,30.48,0,1
Japan_Hiroshima_2018,2018-07-08,34.39,132.45,37.2,215.8,25.6,20.9,96,17.5,19.0,1.99,0.504,10.0,15.22,0,1
Japan_Hiroshima_2018,2018-07-09,34.39,132.45,0.0,215.8,29.5,20.8,98,8.8,0.0,4.82,0.483,10.0,10.27,0,1
Japan_Hiroshima_2018,2018-07-10,34.39,132.45,0.0,215.8,29.5,21.7,99,7.6,0.0,5.06,0.465,10.0,8.1,0,1
China_Gansu_Zhouqu_2010,2010-08-07,33.78,104.37,2.6,30.3,29.5,21.3,98,8.9,6.0,4.16,0.367,1343.0,0.22,0,1
China_Gansu_Zhouqu_2010,2010-08-08,33.78,104.37,8.7,30.3,27.0,20.8,97,7.0,15.0,3.77,0.4,1343.0,0.22,0,1
China_Gansu_Zhouqu_2010,2010-08-09,33.78,104.37,1.3,30.3,28.1,20.8,99,7.9,4.0,3.75,0.385,1343.0,0.17,0,1
China_Gansu_Zhouqu_2010,2010-08-10,33.78,104.37,0.5,30.3,29.5,22.2,98,8.5,3.0,3.94,0.372,1343.0,0.12,0,1
China_Gansu_Zhouqu_2010,2010-08-11,33.78,104.37,9.8,30.3,27.6,22.7,99,6.1,13.0,2.92,0.38,1343.0,0.09,0,1
China_Sichuan_2019,2019-06-24,32.45,103.68,3.6,34.3,20.8,12.3,100,9.6,10.0,3.56,0.362,2710.0,18.36,0,1
China_Sichuan_2019,2019-06-25,32.45,103.68,1.1,34.3,18.2,12.4,100,9.4,5.0,2.36,0.379,2710.0,16.95,0,1
China_Sichuan_2019,2019-06-26,32.45,103.68,0.0,34.3,21.3,8.1,100,11.0,0.0,4.05,0.361,2710.0,14.96,0,1
China_Sichuan_2019,2019-06-27,32.45,103.68,1.2,34.3,20.5,12.8,99,10.9,8.0,2.82,0.347,2710.0,13.69,0,1
China_Sichuan_2019,2019-06-28,32.45,103.68,3.4,34.3,19.1,13.8,96,10.5,8.0,2.22,0.376,2710.0,13.26,0,1
China_Yunnan_2022,2022-01-04,27.35,103.72,0.0,0.0,13.9,-0.5,92,26.3,0.0,2.39,0.115,1946.0,0.36,0,1
China_Yunnan_2022,2022-01-05,27.35,103.72,0.0,0.0,17.3,-0.3,97,22.1,0.0,2.85,0.114,1946.0,0.34,0,1
China_Yunnan_2022,2022-01-06,27.35,103.72,0.0,0.0,12.7,1.0,82,19.6,0.0,2.13,0.11,1946.0,0.34,0,1
China_Yunnan_2022,2022-01-07,27.35,103.72,0.6,0.0,9.8,2.6,84,22.6,5.0,1.43,0.112,1946.0,0.34,0,1
China_Yunnan_2022,2022-01-08,27.35,103.72,0.0,0.0,11.6,2.9,79,17.9,0.0,1.56,0.108,1946.0,0.34,0,1
Indonesia_Sumedang_2021,2021-01-09,-6.86,107.92,38.5,113.7,27.0,21.5,100,9.0,21.0,3.21,0.427,459.0,6.19,0,1
Indonesia_Sumedang_2021,2021-01-10,-6.86,107.92,26.4,113.7,25.8,21.3,100,7.2,18.0,1.91,0.425,459.0,8.98,0,1
Indonesia_Sumedang_2021,2021-01-11,-6.86,107.92,27.8,113.7,26.8,21.4,100,7.6,20.0,2.7,0.422,459.0,10.17,0,1
Indonesia_Sumedang_2021,2021-01-12,-6.86,107.92,34.7,113.7,26.1,21.7,100,8.0,19.0,2.46,0.427,459.0,10.25,0,1
Indonesia_Sumedang_2021,2021-01-13,-6.86,107.92,14.4,113.7,26.4,21.5,99,10.9,11.0,3.47,0.419,459.0,9.4,0,1
Indonesia_NTT_2021,2021-04-04,-8.84,121.66,105.3,150.1,26.0,24.7,100,30.8,24.0,0.82,0.51,55.0,7.13,0,1
Indonesia_NTT_2021,2021-04-05,-8.84,121.66,30.3,150.1,26.9,24.8,94,24.8,16.0,1.55,0.507,55.0,8.16,0,1
Indonesia_NTT_2021,2021-04-06,-8.84,121.66,1.0,150.1,29.1,25.9,87,26.8,8.0,4.05,0.488,55.0,7.43,0,1
Indonesia_NTT_2021,2021-04-07,-8.84,121.66,1.4,150.1,30.0,25.0,94,20.2,7.0,3.93,0.476,55.0,6.82,0,1
Indonesia_NTT_2021,2021-04-08,-8.84,121.66,3.1,150.1,29.4,24.4,97,7.2,9.0,4.17,0.465,55.0,6.31,0,1
